"","date","TempOd1","TempOd2","TempOd4","TempOd5"
"1",2011-05-27,17.334,17.6088333333333,16.508125,18.3614166666667
"2",2011-05-28,10.5953333333333,11.5013333333333,11.9301666666667,12.4354166666667
"3",2011-05-29,12.0646666666667,13.3991666666667,13.35,13.7819166666667
"4",2011-05-30,12.0651666666667,13.7445833333333,13.91925,14.4968333333333
"5",2011-05-31,11.3225,12.93075,13.371,13.8295833333333
"6",2011-06-01,10.9463333333333,11.9768333333333,12.7451666666667,13.6050833333333
"7",2011-06-02,11.6658333333333,13.0713333333333,13.2985,13.9391666666667
"8",2011-06-03,12.4688333333333,14.1025,14.6246666666667,15.2139166666667
"9",2011-06-04,13.7124166666667,15.74625,15.95575,16.3018333333333
"10",2011-06-05,13.4671666666667,15.5176666666667,15.5825833333333,15.9744166666667
"11",2011-06-06,12.6765833333333,14.0439166666667,14.5469166666667,14.9616666666667
"12",2011-06-07,12.3356666666667,13.8071666666667,14.1316666666667,14.6185833333333
"13",2011-06-08,11.25025,13.1393333333333,13.59125,14.15675
"14",2011-06-09,11.0495,12.7196666666667,13.00775,13.6890833333333
"15",2011-06-10,11.4643333333333,13.1883333333333,13.1443333333333,13.8294166666667
"16",2011-06-11,11.3164166666667,12.9614166666667,13.2668333333333,13.7735833333333
"17",2011-06-12,10.7100833333333,12.154,12.7025,13.0738333333333
"18",2011-06-13,12.8490833333333,14.2029166666667,14.0604166666667,14.4675833333333
"19",2011-06-14,13.5690833333333,15.8331666666667,15.6165833333333,15.9941666666667
"20",2011-06-15,13.6314166666667,15.9544166666667,15.9026666666667,16.1868333333333
"21",2011-06-16,13.2264166666667,15.5825833333333,15.8670833333333,16.2148333333333
"22",2011-06-17,12.0164166666667,14.2395,14.12775,14.8040833333333
"23",2011-06-18,12.17025,13.6148333333333,13.83775,14.3669166666667
"24",2011-06-19,11.9260833333333,13.35475,13.8338333333333,14.1876666666667
"25",2011-06-20,13.1751666666667,14.7271666666667,14.7536666666667,15.0625833333333
"26",2011-06-21,13.8414166666667,15.7930833333333,16.1053333333333,16.2324166666667
"27",2011-06-22,13.4010833333333,15.495,16.06975,16.324
"28",2011-06-23,12.5410833333333,14.3469166666667,14.9955,15.4391666666667
"29",2011-06-24,12.1835,13.845,14.3071666666667,14.9353333333333
"30",2011-06-25,13.6344166666667,15.386,15.5956666666667,16.23375
"31",2011-06-26,14.7350833333333,17.2830833333333,17.2976666666667,17.8786666666667
"32",2011-06-27,15.92025,19.066,18.6973333333333,19.2304166666667
"33",2011-06-28,15.3319166666667,18.5168333333333,18.828,19.0975833333333
"34",2011-06-29,13.4310833333333,15.6321666666667,16.71075,16.8894166666667
"35",2011-06-30,12.5346666666667,14.3488333333333,15.0471666666667,15.8070833333333
"36",2011-07-01,11.9799166666667,13.91625,14.4706666666667,15.4809166666667
"37",2011-07-02,12.1529166666667,14.109,14.6240833333333,15.5226666666667
"38",2011-07-03,12.5591666666667,14.5511666666667,14.99875,15.9680833333333
"39",2011-07-04,12.84675,14.9414166666667,15.24975,16.18075
"40",2011-07-05,13.15475,15.3545833333333,15.6898333333333,16.4945
"41",2011-07-06,13.3048333333333,15.56875,15.8651666666667,16.5026666666667
"42",2011-07-07,12.9735,15.5788333333333,15.5529166666667,15.8153333333333
"43",2011-07-08,13.0494166666667,15.017,15.2723333333333,15.9105833333333
"44",2011-07-09,13.29075,15.27425,15.67025,15.9921666666667
"45",2011-07-10,13.4089166666667,15.531,15.82525,16.2425
"46",2011-07-11,12.5954166666667,14.8945,15.2838333333333,15.6956666666667
"47",2011-07-12,13.1238333333333,15.5006666666667,15.4015833333333,16.1631666666667
"48",2011-07-13,13.4031666666667,14.8979166666667,15.2683333333333,15.8790833333333
"49",2011-07-14,12.5896666666667,14.3154166666667,14.7721666666667,15.26
"50",2011-07-15,13.0280833333333,14.6191666666667,14.8555,15.3076666666667
"51",2011-07-16,13.80575,15.8986666666667,15.74575,16.2404166666667
"52",2011-07-17,13.0018333333333,14.7820833333333,15.1946666666667,15.501
"53",2011-07-18,12.75875,14.1595833333333,14.6765833333333,15.1945
"54",2011-07-19,12.5628333333333,14.1525,14.36525,14.9870833333333
"55",2011-07-20,12.8793333333333,14.3810833333333,14.6468333333333,15.0631666666667
"56",2011-07-21,13.2788333333333,14.77025,14.6786666666667,15.1290833333333
"57",2011-07-22,13.4208333333333,14.8798333333333,15.1785833333333,15.5345833333333
"58",2011-07-23,12.6494166666667,14.1334166666667,14.9178333333333,15.3538333333333
"59",2011-07-24,13.0993333333333,14.3524166666667,14.8239166666667,15.1425
"60",2011-07-25,14.14275,15.638,15.8328333333333,16.0575
"61",2011-07-26,14.2314166666667,15.9225833333333,16.4908333333333,16.4469166666667
"62",2011-07-27,13.5446666666667,15.2340833333333,16.0916666666667,16.3458333333333
"63",2011-07-28,13.515,15.1754166666667,15.8648333333333,16.258
"64",2011-07-29,13.7833333333333,15.49,16.1310833333333,16.51225
"65",2011-07-30,14.1403333333333,15.8823333333333,16.4568333333333,16.9013333333333
"66",2011-07-31,14.0916666666667,15.983,16.3334166666667,16.6253333333333
"67",2011-08-01,14.5988333333333,16.7596666666667,16.9390833333333,17.30575
"68",2011-08-02,14.6163333333333,17.0025,17.3316666666667,17.59925
"69",2011-08-03,15.1896666666667,17.5198333333333,17.8036666666667,17.88675
"70",2011-08-04,15.2003333333333,17.8015,17.8254166666667,17.9145
"71",2011-08-05,14.5670833333333,17.00475,17.3636666666667,17.4845
"72",2011-08-06,14.1279166666667,16.3100833333333,16.6635,16.8123333333333
