"","id_sonde","lib_sonde","lat_wgs84","lon_wgs84","x_lamb93","y_lamb93"
"1",812,"Odon T1","49.00604","-0.72847","427314.24","6884897.48"
"2",813,"Odon T2","49.02515","-0.63738","434069.3","6886709.75"
"3",815,"Odon T4","49.1299","-0.49936","444669.4","6897892.38"
"4",816,"Odon T5","49.16432","-0.40768","451519.78","6901424.63"
